did,diagnose,pid
"227","Drug reaction"
"228","Dry air nasal irritation"
"229","Dry socket: pain after tooth removal"
"230","Dysfunctional uterine bleeding: abnormal vaginal bleeding"
"231","E. coli infection: Escherichia coli, bacterial infection"
"232","Ear laceration: cut on the ear"
"233","Ear swelling"
"234","Eclampsia: hypertensive disorder of pregnancy"
"235","Ecstasy: MDMA abuse"
"236","Ectopic pregnancy: tubal pregnancy"
"237","Elapid: Elapid venom: cobra, coral, mamba venom toxicity"
"238","Empyema: collection of pus in chest"
"239","Encephalitis: brain infection"
"240","Endometrial cancer: cancer of the lining of the uterus"
"241","Endometriosis: uterine tissue outside the uterus"
"242","Endometritis: inflammation of the uterus"
"244","Enlarged lymph nodes: lymphadenopathy"
"245","Entamoeba histolytica infection: ameba infection: Infection due to Entamoeba histolytica"
"246","Hypothermia: extreme cold exposure"
"247","Hyperthermia: extreme heat exposure"
"248","Epidermal cyst"
"249","Inflammation of testicular tubes: epididymitis"
"250","Epidural abscess: brain or spine pus collection"
"251","Epidural hematoma: bleeding around brain or spine"
"252","Epiglottitis: severe throat inflammation"
"253","Nose bleed: epistaxis"
"255","Erythrasma: chronic bacterial skin infection"
"256","Esophageal achalasia: swallowing disease"
"257","Esophageal cancer: tumor"
"258","Esophageal cyst"
"259","Esophageal foreign body"
"260","Esophageal rupture: tear in esophagus"
"261","Esophageal spasm: painful muscle contraction"
"262","Esophageal stricture: narrowing of the esophagus"
"263","Esophageal varices: dilation of esophageal veins"
"264","Esophageal web: Schatzki's ring, constriction of esophagus"
"265","Esophagitis: esophageal inflammation"
"266","Essential hypertension: high blood pressure"
"267","Estrogen withdrawal: female hormone"
"269","Extremity trauma: leg or arm injury"
"270","Eye trauma: injury"
"271","Eyelid laceration: skin cut"
"272","Eyelid swelling"
"273","Facial laceration: skin cut"
"274","Facial trauma: facial injury"
"275","Facial swelling"
"276","Fallen arches: flat feet, pes planus"
"277","False pregnancy"
"278","Familial cold urticaria: cold-related hives"
"279","Fat embolism: blood clot from fat"
"280","Febrile: fever illness"
"281","Febrile seizure: convulsion in child with a fever"
"282","Fecal impaction: rectal blockage from stool"
"284","Femoral artery aneurysm: dilation of leg artery"
"285","Femoral hernia: groin hernia"
"286","Fetal alcohol syndrome"
"287","Fever: elevated temperature"
"289","Fibrocystic breasts: breast lumpiness"
"290","Fibroid: uterine muscle tumor"
"291","Fibromyalgia: chronic pain disorder"
"292","Filariasis: elephantiasis"
"293","Finger laceration: skin cut"
"294","Finger pulp infection: felon"
"295","Finger swelling"
"296","Foot laceration: skin cut"
"297","Foot swelling"
"298","Foreign body: object originating outside the body"
"300","Foreign body in the eye"
"302","Fracture: broken bone"
"303","Functional disorders: psychogenic illness"
"304","Fungal infections"
"305","Bacterial vaginosis: BV, garnerella vaginalis"
"306","Gastric ulcer: stomach ulcer"
"307","Gastritis: stomach inflammation"
"308","Gastroenteritis: intestinal infection"
"309","Gastroesophageal reflux: GERD, heartburn"
"310","Gastrointestinal bleeding: stomach, intestine bleeding"
"313","Genital herpes: HSV type 2 infection"
"314","Genital warts: HPV, Human papillomavirus infection"
"315","Gestational diabetes: diabetes during pregnancy"
"316","Gestational hypertension: high blood pressure in pregnancy"
"317","Giardiasis: giardia infection"
"318","Gingivitis: inflammation of the gums"
"319","Glaucoma: elevated eye pressure"
"320","Goiter: enlarged thyroid"
"321","Gout: uric acid crystals in the joint causing inflammation"
"322","Guillain Barre syndrome: ascending muscle weakness"
"323","Bunion of big toe: hallux valgus"
"324","Hammer toes: toe deformity"
"325","Hand laceration: skin cut"
"326","Hand swelling"
"327","Hand foot and mouth disease: Coxsackie virus"
"328","Hantavirus infection: rare, serious viral infection"
"329","Head injury"
"330","Head trauma"
"331","Headache"
"332","Hearing loss"
"334","Heat cramps"
"335","Heat exhaustion"
"336","Heat rash"
"337","Heat stroke"
"338","Hematocele: collection of blood around testicle"
"339","Hematoma: collection of blood"
"340","Hemophilia: inherited bleeding disorder"
"341","Hemoptysis: coughing blood"
"342","Hemorrhage of pregnancy: vaginal bleeding during pregnancy"
"343","Hemorrhoid: enlarged rectal veins"
"344","Hemotympanum: blood behind ear drum"
"345","Henoch Schönlein purpura: blood vessel inflammation"
"346","Hepatic abscess: collection of pus in the liver"
"347","Hepatitis: liver inflammation"
"348","Hereditary hemorrhagic telangiectasia: Osler Weber Rendu syndrome"
"349","Hernia"
"350","Herniated disc: slipped disc, ruptured disc"
"351","Herpes simplex infection: viral infection"
"352","Herpes stomatitis: viral mouth infection"
"353","Herpes vulvovaginitis: viral infection of the vagina: Herpesviral vulvovaginitis"
"354","Hiatal hernia: stomach pushes through diaphragm"
"356","Hip fracture: broken hip"
"358","Hordeolum: stye of eye"
"360","Humerus fracture: broken upper arm"
"361","Hydrocele: fluid collection near the testicle"
"362","Hyperemesis gravidarum: severe vomiting in pregnancy"
"363","Hyperkalemia: elevated potassium level"
"364","Hypertension: high blood pressure"
"365","Hypertensive emergency: severely high blood pressure"
"367","Hyperthyroidism: elevated thyroid hormone"
"368","Hypertrophic cardiomyopathy: thickened heart muscle"
"369","Hyperventilation: rapid breathing"
"370","Hyphema: traumatic blood in eye"
"371","Hypocalcemia: low blood calcium"
"372","Hypoglycemia: low blood sugar"
"373","Hypokalemia: low blood potassium"
"374","Hypokalemic periodic paralysis: inherited muscle weakness and low potassium"
"375","Hyponatremia: low blood sodium"
"376","Hypotension: low blood pressure"
"377","Hypothyroidism: low thyroid hormone"
"378","Hypoxia: lack of oxygen"
"379","Nonsteroidal anti-inflammatory drug overdose: Motrin, Advil"
"381","Impacted tooth: tooth that doesn't erupt"
"382","Impingement syndrome of shoulder: bone rubs again tendon, bursa"
"383","Infection"
"384","Infectious mononucleosis: Epstein Barr virus, ""Mono"""
"386","Inflammatory conditions"
"387","Influenza: seasonal flu"
"388","Inguinal hernia: groin hernia"
"389","Inhalants abuse: huffing"
"391","Insulin overdose"
"392","Interstitial cystitis: bladder inflammation"
"393","Intestinal ischemia: decreased intestinal blood flow"
"394","Intestinal volvulus: twisting of intestine"
"395","Intracranial hemorrhage: bleeding in brain"
"396","Intrahepatic cholestasis of pregnancy: liver disorder in pregnancy"
"398","Intravenous drug abuse: IVDA"
"399","Intussusception: telescoping intestine"
"400","Iron overdose"
"401","Irritable bowel syndrome: IBS, chronic intestinal pain and cramping"
"402","Jet lag"
"403","Kaposi Sarcoma: type of cancer"
"404","Kawasaki disease: pediatric blood vessel disease"
"405","Keratitis: inflammation of cornea"
"406","Kidney cancer: tumor"
"407","Knee laceration: skin cut"
"408","Knee swelling"
"409","Labyrinthitis: dizziness and vertigo"
"410","Laceration: skin cut"
"411","Bowel obstruction: intestinal blockage"
"412","Laryngeal carcinoma: throat cancer"
"413","Laryngitis: voice box inflammation"
"414","Tennis elbow: lateral epicondylitis"
"415","Laxative abuse"
"416","Lead overdose: lead poisoning"
"417","Lead poisoning: toxicity"
"418","Leg laceration: skin cut"
"419","Leg swelling: leg edema"
"420","Legg Calve Perthes disease: childhood hip condition"
"421","Legionellosis: Legionnaires' disease"
"422","Leishmaniasis: parasitic infection, kala azar"
"423","Leptospirosis: bacterial infection"
"424","Leukemia: blood cell cancer"
"425","Lichen planus: chronic skin inflammation"
"426","Ligament sprain: connection between two bones"
"427","Ligament tear: connection between two bones"
"428","Limb ischemia: decreased blood flow"
"429","Lip laceration: skin cut"
"430","Lip swelling"
"431","Lipoma: benign fatty tumor"
"432","Liver abscess: collection of pus"
"433","Liver cancer: tumor"
"434","Low blood pressure: hypotension"
"436","Low platelets: thrombocytopenia"
"437","Ludwigs angina: severe infection in the floor of the mouth and neck"
"439","Lung abscess: collection of pus"
"440","Lung cancer: tumor"
"441","Lupus: systemic lupus erythematosus, SLE"
"442","Lyme disease: bacterial infection from ticks"
"443","Lymphangitis: lymph tissue inflammation"
"444","Magic mushroom ingestion: psilocybin"
"445","Major depressive disorder: severe depression"
"446","Malabsorption syndrome: abnormal intestinal digestion"
"447","Malaria: mosquito transmitted illness"
"448","Malignant hyperthermia: rare temperature abnormality"
"449","Mallet finger: finger tendon rupture"
"450","Mallory Weiss syndrome: esophageal tear"
"451","Malnutrition"
"452","Marijuana use"
"453","Mastitis: breast infection inflammation"
"454","Maxillary sinus carcinoma: sinus cancer"
"455","Measles: viral disease with typical rash"
"456","Meckel's diverticulum: bulge in small intestine"
"458","Mediastinitis: inner chest inflammation"
"461","Meniere's disease: dizziness and vertigo"
"462","Meningitis: spinal fluid infection"
"463","Meniscus injury: knee cartilage injury"
"464","Menopause: end of menstruation and fertility"
"466","Metastatic neoplasm: cancer spread"
"467","Methamphetamine abuse"
"468","Methyl alcohol intoxication: methanol"
"469","Migraine: type of headache"
"470","Miscarriage"
"471","Mitral valve prolapse: abnormal heart valve"
"472","Mittelschmerz: ovulation pain"
"473","Molar pregnancy: gestational trophoblastic disease, pregnancy-related tumor"
"474","Mononucleosis: common viral illness"
"475","Mosquito bite"
"476","Motion sickness"
"477","Motor neuron disease: progressive nerve disorder"
"478","Mouth laceration: mouth cut"
"479","Mouth swelling"
"480","Mouth trauma: injury"
"482","Multiple pregnancy: twins, triplets, etc"
"483","Multiple sclerosis: MS"
"484","Mumps: viral infection involving salivary glands"
"485","Munchausen syndrome: fabricated illness"
"486","Munchausen syndrome by proxy: fabricated illness in a dependent"
"488","Myasthenia gravis: autoimmune disease of the nerves, muscles"
"490","Mycoplasma genitalium: sexually transmitted disease"
"491","Myelodysplastic syndrome: bone marrow failure"
"492","Myocardial infarction: heart attack"
"493","Myocarditis: heart muscle inflammation"
"494","Myopathy: muscle disease"
"495","Myositis: muscle inflammation or infection"
"497","Nail avulsion: traumatic removal of nail"
"498","Nail bruise: subungual hematoma"
"499","Nail contusion: swelling of finger and nail"
"500","Nail laceration: nail bed cut"
"501","Narcolepsy: uncontrollable sleeping"
"502","Narcotic: morphine, heroin abuse"
"503","Narcotic: morphine, heroin overdose"
"504","Nasal cancer: tumor"
"505","Nasal fracture: broken nose"
"506","Nasal polyps: growths"
"507","Nasal trauma: nose injury"
"508","Nasopharyngeal carcinoma: tumor"
"509","Neck trauma: injury"
"510","Necrotizing fasciitis: life-threatening infection"
"511","Neisseria gonorrhea infection: sexually transmitted disease"
"512","Neisseria meningitidis infection: Neisseria meningitidis: meningococcus, serious bacterial illness"
"513","Kidney stone: nephrolithiasis"
"514","Neurogenic bladder: bladder paralysis"
"515","Non venomous snake bite"
"516","Normal menstruation"
"517","Norovirus infection: viral diarrhea, Norwalk virus"
"519","Nursemaid's elbow: radial head subluxation"
"520","Obsessive compulsive disorder: OCD, anxiety disorder"
"522","Onchocerciasis: river blindness"
"523","Ophthalmoplegia: eye muscle weakness"
"524","Optic neuritis: optic nerve inflammation"
"525","Oral candidiasis: thrush, oral yeast"
"526","Oral ulcers: mouth ulcers"
"527","Orbital cellulitis: soft tissue eye infection"
"528","Orbital fracture: broken bone near the eye"
"529","Orbital mass: growth near the eye"
"530","Orchitis: inflammation of the testicles"
"531","Mouth cancer: oropharyngeal cancer"
"532","Osteoarthritis: bone inflammation"
"533","Osteochondritis dissecans: joint disorder"
"534","Osteomyelitis: bone infection"
"535","Ear infection, outer: otitis externa"
"536","Ear infection, middle ear: otitis media"
"537","Ototoxicity: ear toxicity"
"538","Ovarian cancer: female organ cancer"
"539","Ovarian cyst: female organ fluid collection"
"540","Ovarian torsion: twisting of the ovary"
"541","Overdose"
"542","Overuse syndrome: injury from repetitive activity"
"543","Paget disease of the nipple: rare breast cancer"
"544","Pancoast syndrome: apical lung tumor"
"545","Pancreatic cancer: tumor"
"546","Pancreatitis: pancreas inflammation"
"547","Pancreas inflammation: pancreatitis, chronic"
"548","Panic disorder"
"549","Paralytic Ileus: intestinal paralysis"
"550","Parasite infection"
"551","Parkinson's disease: movement disorder"
"552","Paronychia: infection around the nail"
"553","Parotitis: salivary gland inflammation"
"554","Patellar dislocation: knee cap dislocation"
"555","Patellar: knee cap tendon rupture"
"557","Pelvic inflammatory disease: PID, female reproductive organ infection"
"558","Penis carcinoma: tumor"
"560","Perforated septum: hole in skin between nostrils"
"561","Pericarditis: heart sac inflammation"
"562","Periodontitis: gum inflammation"
"563","Periorbital cellulitis: infection around eye"
"564","Peripheral nerve transection: nerve injury"
"565","Peripheral neuropathy: nerve damage"
"566","Peripheral vascular disease: blocked blood vessels"
"567","Peritonitis: abdominal cavity inflammation"
"568","Peritonsillar abscess: collection of pus around tonsils"
"569","Personality disorder: unhealthy patterns of thinking and behavior"
"570","Pesticide poisoning: organophosphate poisoning"
"571","Pharyngeal pouch: Zenker's diverticulum, weakening of the esophageal wall"
"572","Pharyngitis: throat infection"
"573","Pheochromocytoma: adrenal gland tumor"
"574","Phobias: irrational fear"
"575","Pickwickian syndrome: severe obesity"
"576","Pituitary tumor"
"577","Pityriasis rosea: inflammatory skin rash"
"578","Placenta previa: placenta covers cervix"
"579","Placental abruption: placenta separation"
"580","Plague: bubonic plague, bacteria yersinia infection"
"581","Plantar fasciitis: inflammation of tissue at the bottom of the foot"
"582","Plantar wart: human papilloma virus infection, foot warts"
"583","Pleural effusion: abnormal chest fluid"
"584","Pleuritis: inflammation of the lung's lining, pleurisy"
"585","Pneumonia: lung infection"
"586","Pneumothorax: collapse of lung"
"587","Poisoning"
"588","Poliomyelitis: polio"
"589","Polycystic kidney disease: inherited kidney disorder"
"590","Polycystic ovarian syndrome: PCOS, female hormonal disorder"
"591","Polycythemia vera: increased number of red blood cells"
"592","Polyphagia: overeating"
"593","Post concussive syndrome: symptoms after a concussion"
"594","Post nasal drip"
"595","Post-traumatic stress disorder: PTSD"
"596","Posterior inferior cerebellar artery syndrome: stroke syndrome"
"597","Postural hypotension: low blood pressure after standing"
"599","Pregnancy"
"600","Premenstrual syndrome: PMS"
"601","Prescription drug abuse"
"602","Preseptal hematoma: blood clot in the nose"
"603","Priapism: persistent erection"
"604","Primary affective disorder: depression"
"605","Insomnia: difficulty sleeping"
"606","Primary sclerosing cholangitis: bile duct disease"
"607","Primary dysmenorrhea: painful menstruation"
"608","Prinzmetal angina: heart artery spasm"
"609","Prostate cancer: male anatomy cancer"
"611","Prostatitis: prostate inflammation"
"612","Pruritus ani: anal itching"
"613","Pseudogout: calcium deposit arthritis"
"614","Puerperal depression: depression after giving birth"
"615","Puerperal psychosis: loss of contact with reality after birth"
"616","Pulmonary edema: fluid build-up in the lungs"
"617","Pulmonary embolism: blood clot in the lungs"
"618","Pulmonary fibrosis: lung scarring"
"619","Pulmonary hypertension: high blood pressure in the lungs"
"620","Pulpitis: dental root inflammation"
"621","Puncture wound"
"622","Puncture wound of ankle"
"623","Puncture wound of arm"
"624","Puncture wound of ear"
"625","Puncture wound of eyelid"
"626","Puncture wound of face"
"627","Puncture wound of finger"
"628","Puncture wound of foot"
"629","Puncture wound of hand"
"630","Puncture wound of knee"
"631","Puncture wound, leg: Puncture wound of leg"
"632","Puncture wound of lip"
"633","Puncture wound of mouth"
"634","Puncture wound of scalp"
"635","Puncture wound of skin"
"636","Puncture wound of toe"
"637","Pyelonephritis: kidney infection"
"638","Quaternary syphilis: late stage syphilis"
"639","Radial head fracture: broken elbow bone"
"640","Radiator fluid: ethylene glycol poisoning"
"641","Increased pressure in the skull: raised intracranial pressure"
"642","Ramsay Hunt syndrome: viral infection causing facial weakness"
"643","Rectal abscess: collection of pus in the rectum"
"644","Rectal cancer: tumor"
"645","Rectal impaction: collection of pus in the rectum: Fecal impaction of rectum"
"646","Rectal prolapse: rectal protrusion"
"647","Rectal ulcer"
"649","Reiter syndrome: type of joint inflammation"
"650","Renal arteriovenous malformation: AVM, blood vessel abnormality of the kidney"
"651","Renal artery stenosis: kidney artery narrowing"
"652","Renal failure, acute: sudden kidney failure"
"653","Renal failure, chronic: ongoing kidney failure"
"654","Renal infarct: kidney damage from an area of blocked blood flow"
"655","Renal trauma: kidney trauma"
"656","Renal vein thrombosis: kidney vein clot"
"657","Respiratory failure: breathing failure, ARDS"
"658","Restless legs syndrome: nervous system disorder"
"659","Retroperitoneal hemorrhage: flank bleeding"
"660","Retropharyngeal abscess: throat abscess"
"661","Rhabdomyolysis: severe muscle breakdown"
"662","Rheumatoid arthritis: type of chronic joint inflammation"
"663","Rhinosporidiosis: fungal nasal infection"
"664","Rhinovirus infection: common cold"
"665","Rib fracture: broken bone"
"666","Rickettsial infections: type of bacterial infection"
"667","Rotator cuff syndrome: shoulder injury"
"668","Rotavirus infection: intestinal viral infection"
"669","Rubbing: isopropyl alcohol overdose"
"670","Salmonella infection: common bacterial intestinal infection"
"671","Severe Acute Respiratory Syndrome: SARS, serious viral pneumonia"
"672","Scalp laceration: scalp cut"
"673","Scalp swelling"
"674","Scarlet fever: post strep inflammation"
"675","Schistosomiasis: parasite infection"
"676","Schizoaffective disorder: features of schizophrenia and mood disorder"
"677","Schizophrenia: chronic impaired reality perception"
"678","Sciatica: lower back nerve irritation"
"679","Sclerosing cholangitis: progressive bile duct disease "
"680","Scoliosis: crooked spine"
"681","Scorpion sting"
"682","Scrotal hematoma: collection of blood in skin around testicles"
"683","Seasonal affective disorder: intermittent seasonal depression"
"684","Sebaceous cyst: sac under the skin"
"685","Secondary dysmenorrhea: painful menstruation"
"686","Self-inflicted injury"
"687","Sepsis: serious blood infection"
"688","Septal perforation: hole in the skin between nostrils"
"689","Septic arthritis: joint infection"
"690","Septic hip: infected hip joint"
"691","Septic knee joint: infected knee joint"
"692","Septic shock: low blood pressure from serious blood infection"
"693","Serotonin syndrome: severe medication reaction"
"694","Serum sickness: abnormal immune system response"
"696","Sexually transmitted disease: STD"
"697","Shigellosis: bacterial intestinal infection"
"698","Shingles: herpes zoster"
"699","Shock: severe low blood pressure"
"700","Shoulder joint dislocation: dislocated shoulder"
"701","Sialolithiasis: salivary gland stone"
"702","Sickle cell crisis: complication of sickle cell disease"
"703","Sickle cell disease: disease of red blood cells"
"704","Sinusitis: sinus infection"
"706","Sjogren's syndrome: dry eyes and mouth"
"707","Skin abscess: collection of pus"
"708","Skin laceration: cut skin"
"709","Skin swelling"
"710","Skull fracture: broken bone"
"711","Slipped capital femoral epiphysis: adolescent hip disorder"
"712","Small bowel lymphoma: intestinal lymph node cancer"
"714","Smallpox: Variola virus infection"
"715","Smoke inhalation"
"716","Smoking: tobacco use disorder"
"717","Social anxiety disorder: social phobia"
"718","Spermatocele: sperm-filled epididymal cyst"
"719","Insect bite"
"720","Spinal abscess: collection of spinal pus"
"721","Spinal cord injury, acute"
"722","Splenic infarction: death of spleen"
"723","Spondylolisthesis: slipped back bone"
"724","Sprain: stretched, torn ligament"
"725","Squamous cell cancer: common skin cancer"
"726","Steroid abuse"
"727","Steroid use"
"728","Steven Johnson syndrome: rare, serious skin disorder"
"729","Muscle strain: pulled muscle"
"730","Strangulation of genitalia: constriction of genital blood supply"
"731","Streptococcus infection: strep throat bacteria"
"732","Stress"
"733","Stress headache: tension headache"
"734","Stress incontinence: unintentional urination with cough or sneeze"
"735","Subarachnoid hemorrhage: brain bleeding"
"736","Subdural hematoma: bleeding on brain"
"737","Substance abuse"
"738","Subungual hematoma: blood under nail"
"739","Suicide"
"740","Supracondylar fracture: elbow fracture"
"741","Swimmer's itch: cercarial dermatitis"
"742","Symptomatic dermatographism: exaggerated skin response to pressure"
"743","Syphilis: treponema pallidum"
"744","Systemic sclerosis: scleroderma, progressive soft tissue hardening"
"746","Tarantula bite: Tarantula Venoms"
"747","Tarsal tunnel syndrome: foot nerve damage"
"748","Temporal arteritis: inflamed scalp artery"
"749","Temporal lobe epilepsy: non-convulsive seizure"
"750","Temporomandibular joint syndrome: TMJ, jaw joint pain"
"751","Tendonitis: tendon inflammation"
"752","Tenosynovitis: tendon sheath inflammation"
"753","Tension pneumothorax: dangerous lung collapse"
"754","Testicular cancer: tumor"
"755","Testicular torsion: twisting of testicle"
"756","Third cranial nerve disorder: disorder of eye movement"
"757","Thoracic outlet syndrome: nerve, blood vessel compression"
"758","Thrombocytopenia: low platelet count"
"759","Thyroglossal duct cyst: neck cyst"
"760","Thyroiditis: thyroid inflammation"
"761","Tick paralysis: toxin from ticks"
"762","Tick borne encephalitis: brain infection"
"763","Tinea: fungal skin infection"
"764","laceration of toe: cut skin"
"765","Toe swelling"
"766","Tongue cancer: tumor"
"767","Tonsillar cancer: tumor tongue"
"768","Tonsillitis: tonsil infection"
"770","Toothache"
"771","Torticollis, spasmodic: neck muscle spasm"
"772","Preeclampsia: toxemia of pregnancy"
"773","Toxic shock syndrome: life-threatening bacterial infection complication"
"774","Toxoplasma infection: Toxoplasmosis: parasite infection"
"775","Transient ischemic attack: TIA, reversible stroke"
"776","Transverse myelitis: spinal cord inflammation"
"777","Trauma"
"778","Traumatic nerve injury"
"780","Trichinella spiralis infection: trichinosis, parasitic infection from undercooked pork"
"781","Trichomonas vaginalis infection: vaginal infection"
"782","Trigeminal neuralgia: facial nerve pain"
"783","Tuberculosis infection: TB"
"784","Tubo ovarian abscess: pelvic abscess"
"785","Ear drum rupture: tympanic membrane rupture"
"786","Typhoid fever: salmonella typhi infection from contaminated food or water"
"788","Ulcerative colitis: large intestine inflammation"
"789","Unstable angina: pre heart attack chest pain"
"790","Upper respiratory tract infection: URI, common cold"
"791","Ureaplasma urealyticum infection: genital infection"
"792","Urethritis: infection of urethra"
"793","Bladder infection: cystitis, UTI, urinary tract infection"
"794","Urinary tract malformation"
"795","Urine retention: inability to urinate"
"796","Urticaria: hives"
"797","Uterine prolapse: uterine vaginal protrusion"
"798","Uterine rupture: uterine tear during childbirth"
"799","Uveitis: iritis, eye inflammation"
"800","Vaccination"
"801","Vaginal atrophy: atrophic vaginitis"
"802","Vaginal cancer: tumor"
"803","Vaginal foreign body"
"805","Vaginitis: vaginal infection inflammation"
"807","Varicocele: testicular vein enlargement"
"808","Blood vessel headache: familial basilar artery migraine headache"
"809","Vascular insufficiency due to peripheral artery disease: PAD, claudication, inadequate blood flow"
"810","Vasculitis: inflammation of the arteries"
"811","Vasovagal syncope: fainting"
"812","Vertebral artery dissection: neck artery tear"
"813","Vertebral fracture: broken back or neck bone"
"814","Vertebral- basilar artery insufficiency: inadequate blood flow to the back of the brain: vertebro-basilar insufficiency"
"815","Vertebral-basilar stroke: stroke in the back of the brain: Vertebro basilar insufficiency"
"816","Vertigo: spinning sensation"
"817","Vesicovaginal fistula: connection between the bladder and vagina"
"818","Vestibular neuronitis: labyrinthitis, vertigo"
"819","Vibrio parahaemolyticus infection: bacterial infection from shellfish"
"820","Rattlesnake: pit viper bite"
"821","Viral hemorrhagic fevers: Ebola, Lassa"
"822","Viral infections"
"823","Vitiligo: loss of skin pigment","Photodynamic therapy, Steroid and Immunosuppressive drug"
"824","Vocal cord nodule: growth on the vocal cords"
"825","Vocal cord paralysis: voice box weakness"
"826","Volvulus: twisted intestine"
"827","Vulvar squamous cell carcinoma: skin cancer on female genitalia"
"828","Waldenström macroglobulinemia: blood cell disease"
"829","Warfarin: Coumadin, Jantoven overdose"
"830","Warfarin: Coumadin use"
"832","Wegener's granulomatosis: granulomatosis with polyangiitis,  blood vessel disease"
"833","West Nile virus infection: mosquito-transmitted illness"
"834","Whiplash injury: neck injury"
"835","White coat hypertension: elevated blood pressure at doctor's office"
"836","Whooping cough: pertussis"
"837","Windshield wiper fluid: Methanol poisoning"
"838","Wolff Parkinson White syndrome: WPW, additional electrical pathway in the heart"
"841","Yellow fever: viral hemorrhagic fever"
"842","Zenker's diverticulum: pharyngeal pouch, weakening of the esophageal wall"
"848","Seizure: abnormal brain electrical activity"
"849","Pilonidal cyst: fluid filled sac on tailbone"
"851","Essential tremor: abnormal rhythmic shaking"
"852","Lymphoma: lymph node cancer"
"853","Osgood Schlatter disease: painful shinbone inflammation"
"854","Nasal foreign body: unnatural object in the nose"
"855","Respiratory syncytial virus: RSV, pediatric respiratory infection"
"856","Hodgkin's disease: cancer of the lymph system"
"857","Autism spectrum disorder: ASD"
"858","Polymyalgia rheumatica: PMR, muscle and joint disorder"
"859","Swine Flu: H1N1 Influenza"
"860","Fifth disease: erythema infectiosum, viral illness"
"861","Sagittal sinus thrombosis: venous blood clot in the brain"
"862","Cervical spine stenosis: narrowing of spinal canal"
"863","Cervical myelopathy: spinal cord compression"
"864","Spinal cord tumor"
"865","Brachial plexus injury: shoulder nerve injury"
"866","Brain arteriovenous malformation: blood vessel abnormality in the brain, AVM: Arteriovenous malformation of brain"
"867","Carotid artery stenosis: neck artery narrowing"
"868","Meningioma: brain tumor"
"869","Astrocytoma: brain tumor"
"870","Hydrocephalus: brain fluid build-up"
"872","Central cord syndrome: traumatic spine injury"
"873","Cerebral aneurysm: brain artery dilation"
"874","Pseudotumor cerebri: increased pressure in the skull"
"875","HIV AIDS: Human Immunodeficiency Virus, Acquired Immune Deficiency Syndrome: Human immunodeficiency virus [HIV] disease"
"876","Endocarditis: heart valve infection"
"877","Acne: pimples"
"878","Attention deficit hyperactivity disorder: ADHD"
"879","Allergic conjunctivitis: allergic reaction in the eye"
"881","Teeth grinding: bruxism"
"882","Chemical burn"
"883","Chicken pox: varicella virus"
"884","Cradle cap: infant scalp rash"
"885","Croup: upper airway inflammation"
"887","Dyslexia: reading disorder"
"890","Psoriasis: scaly skin disease"
"891","Asperger's syndrome: autism spectrum disorder"
"892","Methicillin-resistant Staphylococcus aureus: MRSA, type of bacteria"
"893","Staphylococcus aureus: type of bacteria"
"894","Failure to thrive - child: Failure to thrive-child: Failure to thrive (child)"
"895","Hemochromatosis: excess iron disorder"
"896","Impetigo: bacterial skin infection"
"897","Inhaled foreign body: in respiratory tract"
"898","Jaundice: yellow skin color"
"899","Keratosis pilaris: common skin condition"
"900","Head lice"
"901","Body lice"
"902","Pubic lice"
"903","Wilsons disease: copper accumulation in tissues"
"904","Rocky mountain spotted fever: bacterial infection spread by ticks"
"905","Erysipelas: bacterial skin infection"
"906","Cat scratch fever: bacterial infection after cat scratch"
"907","Coccidiomycosis: valley fever, fungal infection"
"908","Meconium aspiration: newborn respiratory problem"
"909","Neurofibromatosis: inherited nerve tumors"
"910","Night terrors: nightmares"
"911","Pinworms: common intestinal worm"
"912","Reyes syndrome: rare liver and brain swelling"
"913","Mongolian spots: blue birthmark"
"914","Rheumatic fever: complication of strep infection"
"915","Rhinitis: nasal inflammation"
"916","Ringworm of the scalp: tinea capitis"
"917","Ringworm of the body: tinea corporis"
"918","Rubella: German measles"
"920","Scabies: skin disease caused by mites"
"921","Atrial flutter: irregular heart rate"
"922","Pepto Bismol or Kaopectate ingestion: bismuth"
"923","Long QT Syndrome: inherited heart condition"
"924","Coronary artery anomaly: heart artery malformation"
"925","Stroke: CVA, cerebrovascular accident"
"926","Subconjunctival hemorrhage: blood covering white part of the eye"
"927","Sleep apnea: chronic sleep disruption"
"929","Myotonia: impaired muscle relaxation"
"930","Carbuncle"
"931","Melanoma: skin cancer"
"932","Cat bite"
"933","Dog bite"
"934","Muscle spasm: charley horse"
"935","Hyperosmolar hyperglycemic state: severely elevated glucose level"
"937","Tetanus: lockjaw"
"938","Tourette syndrome: repetitive involuntary movements, vocalizations"
"939","Umbilical hernia: belly button hernia"
"940","Common warts"
"941","Transient global amnesia: sudden period of short-term memory loss"
"943","Osteoporosis: extremely thin bone"
"944","Bird flu: avian influenza"
"946","Cubital tunnel syndrome: nerve compression in the elbow"
"947","Foot fracture: broken foot"
"948","Ankle fracture: broken ankle"
"949","Histoplasmosis: fungal infection"
"950","Tick bite"
"951","Q fever: flu-like bacterial illness"
"952","Broken heart syndrome: Takotsubo cardiomyopathy"
"953","Whipple's disease: rare bacterial infection of the small intestine"
"954","Near drowning"
"955","Clostridium difficile: C. Diff"
"956","Sea lice bite"
"958","Ascites: fluid in the abdomen"
"960","Sunburn"
"961","Sun poisoning"
"962","Cystic fibrosis: inherited disease of lungs, digestive system"
